Cycle,Start Time,End Time,Chg_Cap,DChg_Cap,Avg_Temp,Cell_ID,Model,Chg_Rate,DChg_Rate,V_upper,V_lower,Channel
1,2026年6月2日 10:05,2026年6月2日 17:38,272045.2,271762.0,25.3,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
2,2026年6月2日 18:48,2026年6月3日 2:13,271995.6,271790.6,24.8,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
3,2026年6月3日 3:09,2026年6月3日 10:34,272055.6,271660.5,25.2,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
4,2026年6月3日 11:32,2026年6月3日 19:07,271856.1,271565.0,24.7,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
5,2026年6月3日 20:09,2026年6月4日 3:35,271719.4,271530.2,25.3,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
6,2026年6月4日 4:31,2026年6月4日 11:59,271785.1,271573.4,24.9,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
7,2026年6月4日 13:05,2026年6月4日 20:37,271834.3,271525.2,24.7,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
8,2026年6月4日 21:39,2026年6月5日 5:14,271663.1,271442.1,24.3,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
9,2026年6月5日 6:15,2026年6月5日 13:40,271794.9,271446.2,25.0,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
10,2026年6月5日 14:35,2026年6月5日 22:09,271605.9,271283.0,24.8,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
11,2026年6月5日 23:17,2026年6月6日 6:41,271582.5,271224.0,24.6,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
12,2026年6月6日 7:39,2026年6月6日 15:12,271505.9,271266.1,24.7,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
13,2026年6月6日 16:17,2026年6月6日 23:41,271602.0,271216.1,25.9,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
14,2026年6月7日 0:43,2026年6月7日 8:18,271581.2,271181.0,25.2,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
15,2026年6月7日 9:20,2026年6月7日 16:44,271178.2,271036.1,24.8,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
16,2026年6月7日 17:50,2026年6月8日 1:22,271212.8,271032.7,24.9,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
