Cycle,Start Time,End Time,Chg_Cap,DChg_Cap,Avg_Temp,Cell_ID,Model,Chg_Rate,DChg_Rate,V_upper,V_lower,Channel
1,2026-05-18 08:40:00,2026-05-18 12:15:00,277.86,277.56,28.9,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
2,2026-05-18 13:23:00,2026-05-18 16:49:00,277.66,277.42,27.6,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
3,2026-05-18 17:56:00,2026-05-18 21:23:00,277.51,277.31,26.7,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
4,2026-05-18 22:18:00,2026-05-19 01:48:00,277.61,277.22,28.4,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
5,2026-05-19 02:53:00,2026-05-19 06:23:00,277.18,277.02,27.4,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
6,2026-05-19 07:33:00,2026-05-19 11:05:00,277.26,276.86,28.2,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
7,2026-05-19 12:15:00,2026-05-19 15:48:00,277.00,276.79,28.9,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
8,2026-05-19 16:47:00,2026-05-19 20:14:00,276.71,276.57,28.5,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
9,2026-05-19 21:23:00,2026-05-20 00:52:00,276.82,276.48,28.4,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
10,2026-05-20 02:00:00,2026-05-20 05:29:00,276.58,276.24,27.3,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
11,2026-05-20 06:36:00,2026-05-20 10:00:00,276.53,276.11,28.0,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
12,2026-05-20 11:07:00,2026-05-20 14:33:00,276.47,276.07,27.6,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
13,2026-05-20 15:36:00,2026-05-20 19:10:00,276.05,275.82,29.1,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
14,2026-05-20 20:05:00,2026-05-20 23:29:00,275.97,275.78,27.5,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
15,2026-05-21 00:37:00,2026-05-21 04:07:00,275.73,275.57,28.8,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
16,2026-05-21 05:16:00,2026-05-21 08:50:00,275.64,275.37,28.3,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
17,2026-05-21 09:54:00,2026-05-21 13:27:00,275.44,275.21,,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
18,2026-05-21 14:29:00,2026-05-21 17:57:00,275.22,275.07,,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
19,2026-05-21 18:58:00,2026-05-21 22:26:00,275.30,274.99,,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
20,2026-05-21 23:34:00,2026-05-22 02:58:00,275.19,274.86,29.1,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
21,2026-05-22 04:04:00,2026-05-22 07:38:00,275.05,274.72,28.4,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
22,2026-05-22 08:39:00,2026-05-22 12:05:00,274.89,274.58,27.8,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
23,2026-05-22 13:03:00,2026-05-22 16:34:00,274.74,274.40,28.5,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
24,2026-05-22 17:35:00,2026-05-22 21:04:00,274.65,274.31,28.5,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
25,2026-05-22 22:06:00,2026-05-23 01:36:00,274.30,274.09,28.8,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
26,2026-05-23 02:33:00,2026-05-23 05:57:00,274.39,274.03,28.2,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
27,2026-05-23 06:53:00,2026-05-23 10:29:00,274.15,273.90,27.9,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
28,2026-05-23 11:38:00,2026-05-23 15:03:00,273.88,273.68,27.5,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
