Cycle,Start Time,End Time,Chg_Cap,DChg_Cap,Avg_Temp,Cell_ID,Model,Chg_Rate,DChg_Rate,V_upper,V_lower,Channel
1,2026-06-25 09:00:00,2026-06-25 16:32:00,279.38,279.03,24.9,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
2,2026-06-25 17:42:00,2026-06-26 01:17:00,279.38,279.13,24.8,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
3,2026-06-26 02:22:00,2026-06-26 09:55:00,279.17,278.96,24.6,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
4,2026-06-26 10:51:00,2026-06-26 18:17:00,279.25,278.87,24.3,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
5,2026-06-26 19:20:00,2026-06-27 02:52:00,278.98,278.80,24.7,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
6,2026-06-27 03:58:00,2026-06-27 11:26:00,279.00,278.85,25.1,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
7,2026-06-27 12:29:00,2026-06-27 19:53:00,278.91,278.66,25.1,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
8,2026-06-27 20:55:00,2026-06-28 04:30:00,278.96,278.76,25.1,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
9,2026-06-28 05:33:00,2026-06-28 13:00:00,279.02,278.72,25.3,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
10,2026-06-28 14:09:00,2026-06-28 21:40:00,278.90,278.63,25.0,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
11,2026-06-28 22:35:00,2026-06-29 06:08:00,278.87,278.59,25.4,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
12,2026-06-29 07:06:00,2026-06-29 14:30:00,278.72,278.45,25.2,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
13,2026-06-29 15:31:00,2026-06-29 23:02:00,278.81,278.43,24.5,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
14,2026-06-29 23:59:00,2026-06-30 07:24:00,278.54,278.31,24.7,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
15,2026-06-30 08:23:00,2026-06-30 15:58:00,278.52,278.22,24.7,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
16,2026-06-30 17:06:00,2026-07-01 00:31:00,278.38,278.20,24.9,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
